,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
49,2020-03-13,123.61584428725578,75.97705836419584,174.4167394575752,123.61584428725578,123.61584428725578,2.187235601598135,2.187235601598135,2.187235601598135,2.187235601598135,2.187235601598135,2.187235601598135,0.0,0.0,0.0,125.80307988885392
50,2020-03-16,124.3413270325788,79.36612781541506,176.19768202047428,124.3413270325788,124.3413270325788,4.480698481246741,4.480698481246741,4.480698481246741,4.480698481246741,4.480698481246741,4.480698481246741,0.0,0.0,0.0,128.82202551382554
51,2020-03-17,124.58315461435313,78.5385341057966,174.2205747465376,124.58315461435313,124.58315461435313,4.564475776246873,4.564475776246873,4.564475776246873,4.564475776246873,4.564475776246873,4.564475776246873,0.0,0.0,0.0,129.1476303906
52,2020-03-18,124.82498219612746,83.86897620124789,176.85888713365512,124.82498219612746,124.82498219612746,4.626443976001091,4.626443976001091,4.626443976001091,4.626443976001091,4.626443976001091,4.626443976001091,0.0,0.0,0.0,129.45142617212855
53,2020-03-19,125.06680977790182,81.24961964391372,175.7154209699689,125.06680977790182,125.06680977790182,4.724785144370081,4.724785144370081,4.724785144370081,4.724785144370081,4.724785144370081,4.724785144370081,0.0,0.0,0.0,129.7915949222719
54,2020-03-20,125.30863735967615,80.30281295614101,176.0277516201204,125.30863735967615,125.30863735967615,2.1872356016424463,2.1872356016424463,2.1872356016424463,2.1872356016424463,2.1872356016424463,2.1872356016424463,0.0,0.0,0.0,127.4958729613186
55,2020-03-23,126.03412010499919,82.56525238735476,176.33990516188047,126.03412010499919,126.03412010499919,4.480698481249756,4.480698481249756,4.480698481249756,4.480698481249756,4.480698481249756,4.480698481249756,0.0,0.0,0.0,130.51481858624894
56,2020-03-24,126.27594768677352,80.85336261596902,179.3016157398179,126.27594768677352,126.27594768677352,4.564475776243344,4.564475776243344,4.564475776243344,4.564475776243344,4.564475776243344,4.564475776243344,0.0,0.0,0.0,130.84042346301686
57,2020-03-25,126.52721976948958,82.32649857316395,182.435446759203,126.52721976948958,126.52721976948958,4.626443976000044,4.626443976000044,4.626443976000044,4.626443976000044,4.626443976000044,4.626443976000044,0.0,0.0,0.0,131.1536637454896
58,2020-03-26,126.77849185220562,85.07006076032717,179.98110736862947,126.77849185220562,126.77849185220562,4.724785144381488,4.724785144381488,4.724785144381488,4.724785144381488,4.724785144381488,4.724785144381488,0.0,0.0,0.0,131.50327699658712
59,2020-03-27,127.02976393492168,83.33480035927484,176.52859232402074,127.02976393492168,127.02976393492168,2.1872356016320222,2.1872356016320222,2.1872356016320222,2.1872356016320222,2.1872356016320222,2.1872356016320222,0.0,0.0,0.0,129.2169995365537
60,2020-03-30,127.78358018306982,85.0279543570271,181.12913107505582,127.78358018306982,127.78358018306982,4.48069848125277,4.48069848125277,4.48069848125277,4.48069848125277,4.48069848125277,4.48069848125277,0.0,0.0,0.0,132.26427866432257
61,2020-03-31,128.03485226578587,85.70463667647593,182.23425151647132,128.03485226578587,128.03485226578587,4.564475776254415,4.564475776254415,4.564475776254415,4.564475776254415,4.564475776254415,4.564475776254415,0.0,0.0,0.0,132.5993280420403
62,2020-04-01,128.28612434850191,87.47568828826353,181.42444644680748,128.28612434850191,128.28612434850191,4.6264439759992015,4.6264439759992015,4.6264439759992015,4.6264439759992015,4.6264439759992015,4.6264439759992015,0.0,0.0,0.0,132.9125683245011
63,2020-04-02,128.53739643121796,86.06948618928251,180.20758351775726,128.53739643121796,128.53739643121796,4.724785144376905,4.724785144376905,4.724785144376905,4.724785144376905,4.724785144376905,4.724785144376905,0.0,0.0,0.0,133.26218157559487
64,2020-04-03,128.78866851393403,82.26036868125941,174.46855775728423,128.78866851393403,128.78866851393403,2.1872356016321315,2.1872356016321315,2.1872356016321315,2.1872356016321315,2.1872356016321315,2.1872356016321315,0.0,0.0,0.0,130.97590411556615
65,2020-04-06,130.009245325703,89.62102502489752,186.39273978528547,130.009245325703,130.009245325703,4.480698481267192,4.480698481267192,4.480698481267192,4.480698481267192,4.480698481267192,4.480698481267192,0.0,0.0,0.0,134.4899438069702
66,2020-04-07,130.41610426295935,87.1937069042331,180.0214709523225,130.41610426295935,130.41610426295935,4.564475776251902,4.564475776251902,4.564475776251902,4.564475776251902,4.564475776251902,4.564475776251902,0.0,0.0,0.0,134.98058003921125
67,2020-04-08,130.82296320021567,86.51378448082939,185.68459901626133,130.82296320021567,130.82296320021567,4.626443976002228,4.626443976002228,4.626443976002228,4.626443976002228,4.626443976002228,4.626443976002228,0.0,0.0,0.0,135.4494071762179
68,2020-04-09,131.229822137472,85.64653868174474,182.2877322760495,131.229822137472,131.229822137472,4.724785144380317,4.724785144380317,4.724785144380317,4.724785144380317,4.724785144380317,4.724785144380317,0.0,0.0,0.0,135.95460728185233
69,2020-04-13,132.85725788649734,91.41703873855722,185.65335770741132,132.85725788649734,132.85725788649734,4.480698481270207,4.480698481270207,4.480698481270207,4.480698481270207,4.480698481270207,4.480698481270207,0.0,0.0,0.0,137.33795636776753
70,2020-04-14,133.26411682375368,90.01822687717363,183.27659891287936,133.26411682375368,133.26411682375368,4.564475776249389,4.564475776249389,4.564475776249389,4.564475776249389,4.564475776249389,4.564475776249389,0.0,0.0,0.0,137.82859260000308
71,2020-04-15,133.67097576101,89.35126145633302,184.4947826640904,133.67097576101,133.67097576101,4.626443976001382,4.626443976001382,4.626443976001382,4.626443976001382,4.626443976001382,4.626443976001382,0.0,0.0,0.0,138.29741973701138
72,2020-04-16,134.07783469826634,94.89950867109701,183.14321495939132,134.07783469826634,134.07783469826634,4.724785144374961,4.724785144374961,4.724785144374961,4.724785144374961,4.724785144374961,4.724785144374961,0.0,0.0,0.0,138.8026198426413
73,2020-04-17,134.70004705418086,88.51537949048995,188.94214524998733,134.70004705418086,134.70004705418086,2.187235601611285,2.187235601611285,2.187235601611285,2.187235601611285,2.187235601611285,2.187235601611285,0.0,0.0,0.0,136.88728265579215
74,2020-04-20,136.56668412192434,91.53595302874166,183.44953232938678,136.56668412192434,136.56668412192434,4.480698481278925,4.480698481278925,4.480698481278925,4.480698481278925,4.480698481278925,4.480698481278925,0.0,0.0,0.0,141.04738260320326
75,2020-04-21,137.18889647783885,94.3594048220628,188.56948956074683,137.18889647783885,137.18889647783885,4.564475776259442,4.564475776259442,4.564475776259442,4.564475776259442,4.564475776259442,4.564475776259442,0.0,0.0,0.0,141.75337225409828
